0,"",2019-09-01,58
0,"",2019-09-02,27
0,"",2019-09-03,20
0,"",2019-09-04,40
0,"",2019-09-05,26
0,"",2019-09-06,26
0,"",2019-09-07,15
0,"",2019-09-08,11
0,"",2019-09-09,20
0,"",2019-09-10,32
0,"",2019-09-11,16
0,"",2019-09-12,24
0,"",2019-09-13,13
0,"",2019-09-14,7
0,"",2019-09-15,38
0,"",2019-09-16,17
0,"",2019-09-17,15
0,"",2019-09-18,18
0,"",2019-09-19,9
0,"",2019-09-20,7
0,"",2019-09-21,14
0,"",2019-09-22,12
0,"",2019-09-23,8
0,"",2019-09-24,16
0,"",2019-09-25,23
0,"",2019-09-26,10
0,"",2019-09-27,19
0,"",2019-09-28,28
0,"",2019-09-29,6
0,"",2019-09-30,29
0,"",2019-10-01,43
0,"",2019-10-02,24
0,"",2019-10-03,17
0,"",2019-10-04,12
0,"",2019-10-05,15
0,"",2019-10-06,3
0,"",2019-10-07,14
0,"",2019-10-08,11
0,"",2019-10-09,11
0,"",2019-10-10,17
0,"",2019-10-11,16
0,"",2019-10-12,7
0,"",2019-10-13,10
0,"",2019-10-14,13
0,"",2019-10-15,27
0,"",2019-10-16,7
0,"",2019-10-17,12
0,"",2019-10-18,8
0,"",2019-10-19,11
0,"",2019-10-20,11
0,"",2019-10-21,8
0,"",2019-10-22,12
0,"",2019-10-23,11
0,"",2019-10-24,11
0,"",2019-10-25,19
0,"",2019-10-26,107
0,"",2019-10-27,29
0,"",2019-10-28,25
0,"",2019-10-29,10
0,"",2019-10-30,13
0,"",2019-10-31,34
0,"",2019-11-01,38
0,"",2019-11-02,43
0,"",2019-11-03,16
0,"",2019-11-04,64
0,"",2019-11-05,71
0,"",2019-11-06,32
0,"",2019-11-07,34
0,"",2019-11-08,28
0,"",2019-11-09,26
0,"",2019-11-10,16
0,"",2019-11-11,23
0,"",2019-11-12,430
0,"",2019-11-13,16
0,"",2019-11-14,186
0,"",2019-11-15,30
0,"",2019-11-16,52
0,"",2019-11-17,1100
0,"",2019-11-18,13
0,"",2019-11-19,17
0,"",2019-11-20,30
0,"",2019-11-21,34
0,"",2019-11-22,16
0,"",2019-11-23,9
0,"",2019-11-24,46
0,"",2019-11-25,10
0,"",2019-11-26,33
0,"",2019-11-27,16
0,"",2019-11-28,25
0,"",2019-11-29,14
0,"",2019-11-30,18
0,"",2019-12-01,30
0,"",2019-12-02,12
0,"",2019-12-03,17
0,"",2019-12-04,32
0,"",2019-12-05,8
0,10024,2019-11-16,1167
0,10024,2019-11-17,1183
0,10024,2019-11-19,5
0,1012_353693,2019-10-27,1
0,1012_405264,2019-10-28,18
0,10604,2019-11-09,1
0,10604,2019-11-19,1
0,10636,2019-11-12,17
0,1106,2019-11-08,1
0,11341,2019-11-05,3
0,11460,2019-11-20,67
0,1174,2019-09-26,2
0,1174,2019-09-27,3
0,1174,2019-09-29,2
0,1174,2019-09-30,24
0,1174,2019-10-02,6
0,1174,2019-10-05,2
